# monitor|ip_address|geographic_location|geographic_latitude|geographic_longitude|as_number|organization_classification|organization_name
aal-dk|62.107.66.33|Aalborg, DK|57.0488195|9.921747|197288|residential|Residential (STOFA)
acc-gh|196.49.14.12|Accra, GH|5.6037168|-0.1869644|30997|infrastructure|Ghana Internet eXchange (GIX)
adl-au|203.122.229.71|Adelaide, AU|-34.9286212|138.5999594|4739|residential|Residential (Internode)
aep-ar|157.92.44.99|Buenos Aires, AR|-34.6036844|-58.3815591|3449|educational|Universidad de Buenos Aires
ams-nl|192.42.115.98|Amsterdam, NL|52.3702157|4.8951679|1103|research|SURFnet
ams2-nl|91.200.16.102|Amsterdam, NL|52.3702157|4.8951679|1200|infrastructure|AMS-IX
ams5-nl|213.46.228.229|Amsterdam, NL|52.3702157|4.8951679|6830|commercial|Liberty Global
ams6-nl|94.213.38.151|Amsterdam, NL|52.3702157|4.8951679|9143|residential|Residential (Ziggo)
amw-us|129.186.1.240|Ames, IA, US|42.02335|-93.625622|2698|educational|Iowa State University
anc-us|65.74.16.163|Anchorage, AK, US|61.2180556|-149.9002778|8047|commercial|GCI
arn-se|194.68.13.6|Stockholm, SE|59.3327881|18.0644881|2603|research|NORDUnet
ath-gr|77.49.101.239|Peania, GR|37.9553334|23.8522263|1241|residential|Residential (Forthnet)
atl-us|65.50.110.191|Atlanta, GA, US|33.7489954|-84.3879824|31939|residential|Residential (DirectTV)
avl-us|68.115.154.254|Lake Junaluska, NC, US|35.5278815|-82.9595811|20115|residential|Residential (Charter Business DSL)
aza-us|184.98.79.143|Gilbert, AZ, US|33.3528264|-111.789027|209|residential|Residential (Century Link DSL)
bbu-ro|5.2.151.201|Bucharest, RO|44.4267674|26.1025384|8708|residential|Residential (RCS/RDS))
bcn-es|84.88.81.122|Barcelona, ES|41.387917|2.1699187|13041|educational|Universitat Politecnica de Catalunya
bed-us|50.138.170.121|Concord, MA, US|42.4602778|-71.3494444|7922|residential|Residential (Comcast Cable)
bed2-us|74.104.191.187|Groton, MA, US|42.6112018|-71.5745152|701|residential|Residential (Verizon Fios)
bed3-us|146.115.72.2|Lexington, MA, US|42.4430372|-71.2289641|6079|residential|Residential (RCN)
beg-rs|193.105.163.184|Belgrade, RS|44.786568|20.4489216|13004|infrastructure|Serbian Open eXchange (SOX)
bfi-us|75.165.54.183|Seattle, WA, US|47.6062095|-122.3320708|209|residential|Residential (Centurylink GPON)
